Date,Username,Comment
15:20:06,Ash Ray,TRUMPPPPPPPPPPPPPP
15:20:07,Good ending🤤🤨,TRUMP WIN
15:20:07,Schyler Roberson,What’s the current percentage?
15:20:07,π,Nothing is to big to rig if you are controlling the numbers.
15:20:07,HeadShorts,Lula
15:20:07,Hana Skenderovic,KALMALA
15:20:07,Grant Kessler,TRUMP MUST WIN
15:20:07,Sinking Ships,Ah yes the day where one side claims democracy is dead
15:20:07,WassupITSJARLYNN,omg trumppp
15:20:08,John Titor II,rigged v I b e
15:20:08,TryOnExperts,Trump
15:20:08,Ash Ray,TRUMP TRUMP TRUMP....MAGA :red_circle: TOO BIG TO RIG. 
15:20:08,Cayden_plays_ttd,#Trump 2024
15:20:08,Aziza,Trump
15:20:08,Cristopher Moreno,:police_car_light:MAGA :police_car_light::police_car_light:MAGA :police_car_light::police_car_light:MAGA :police_car_light:
15:20:08,Stella the cat,FRICK KAMALA
15:20:08,Thr Thr,Trump
15:20:09,Snow leopard,:text-yellow-goal:Please vote HARRIS 2024:text-yellow-goal::card-red-penalty:trump is too old old old and has dementia:card-red-penalty:
15:20:09,J S,:growing_heart: T R U M P :growing_heart: T R U M P
15:20:09,TrumpMAGA22,TRUMP
15:20:09,Merciix,KAMALA HARRIS
15:20:09,Sci Ops,RIGGED
15:20:09,Shokunin,TRUMP
15:20:09,GTE Pro,TRUMP
15:20:09,aro,TRUMP 2024 NBA
15:20:10,Loo Woo,kamara
15:20:10,Pahuam Lee,PLEASE VOTE TRUMPP
15:20:10,Discernment,MAGA !
15:20:10,Shere ali,Trump
15:20:10,Harrison Muturi,HARRIS
15:20:10,Andres Cantor,TRUMP
15:20:10,Cristopher Moreno,:police_car_light:MAGA :police_car_light:
15:20:10,OEUVRES DIVINE,KALAMA
15:20:11,unfun - e/acc,TRUMP!
15:20:11,Robert Billing,MAKE SWEDEN GREAT AGAIN 
15:20:11,farovail,Kamala :blue_circle::blue_circle::blue_circle:
15:20:11,Aleksander Soja,Trump
15:20:11,Wild Phil Presents,our country is such a joke now
15:20:11,Ademir ,TRUMP
15:20:11,Kumaran7,THALAPATHY VIJAY
15:20:12,TrumpMAGA22,TRUMP
15:20:12,T Man,Trump 2024
15:20:12,J S,:growing_heart: T R U M P :growing_heart: T R U M P
15:20:12,Amber Farmer,THE TIGER KiNG 
15:20:13,jdifdif ndnffjfj,It's very sad that people bring their god and their religion into such a thing.
15:20:13,KenSaka,Trump
15:20:13,Snacks ,MARYLAND
15:20:13,Snow leopard,:text-yellow-goal:Please vote HARRIS 2024:text-yellow-goal::card-red-penalty:trump is too old old old and has dementia:card-red-penalty:
15:20:13,Gael Beneus,Everyone saying trump when he comes in and do what he do make sure you don’t complain 
15:20:14,MAC DADDY DONK,CHEATING ALREADY 
15:20:14,elsomnoliento,KAMATRAMP
15:20:14,TrumpMAGA22,TRUMP
15:20:14,Abulin Abulizi,Trump
15:20:14,Quetzalli,KAMALA 
15:20:14,S. Kapfo,vote for Rio
15:20:14,Dustin,terrible 
15:20:15,l.,TRUMP FOR KING
15:20:15,Zainxxxyt,JESUS
15:20:15,Cyber,KAMALA HARRIS FOR A FREE DEMOCRACY. KAMALA HARRIS FOR A GOOD ECONOMY. KAMALA HARRIS FOR BILLIONAIRES PAYING THEIR FAIR SHARE. KAMALA HARRIS FOR A FACISM FREE AMERICA. KAMALA HARRIS FOR THE FREE WORLD
15:20:15,Dεrpy-Sελl,tump
15:20:15,Thr Thr,Trump
15:20:15,Godschild,:red_square::red_square::red_square::red_square::red_square:
15:20:15,J S,:growing_heart: T R U M P :growing_heart: T R U M P
15:20:16,Leonwilliams King,HARIS
15:20:16,Ash Ray,TRUMP TRUMP TRUMP....MAGA :red_circle: TOO BIG TO RIG. 
15:20:16,Way To unknown place,Truuuuuummmmmmmmp Trummmmmmmmmmp
15:20:16,Sci Ops,R I G G E D
15:20:16,Chris Edenfield,"Guys, we need more cowbell "
15:20:16,OEUVRES DIVINE,KAMALA
15:20:16,TrumpMAGA22,TRUMP
15:20:16,TryOnExperts,Trump
15:20:20,Faith Kimanzi,kamala
15:20:20,Efs06,Trump 
15:20:20,Wilfredo Perez,Trump
15:20:20,Raheel Haider,Trump Trump trump
15:20:20,Leah Djemaneh,ethiopia for Trump
15:20:20,Pahuam Lee,vote trump
15:20:20,Omoua Sandra Sheats,Trump
15:20:20,Jose Flores,Kamala
15:20:20,Nathan King,MAGA
15:20:20,Snow leopard,:text-yellow-goal:Please vote HARRIS 2024:text-yellow-goal::card-red-penalty:trump is too old old old and has dementia:card-red-penalty:
15:20:20,TrumpMAGA22,TRUNP
15:20:20,Merciix,I LOVE KAMALA HARRIS
15:20:20,spratley reg,************** TRUMP ***************
15:20:21,Zainxxxyt,JESUS
15:20:21,april w,Cheaters 
15:20:21,Hhhhhh,Plandemic
15:20:21,G N,TRUMP IS THE BEST
15:20:21,J S,:growing_heart: T R U M P :growing_heart: T R U M P
15:20:21,Hi,TRUMP
15:20:21,Cristopher Moreno,:police_car_light:MAGA :police_car_light:
15:20:21,Hibik,:red_circle:Get out and VOTE! Take as MANY people as you can with you! :red_circle:
15:20:21,Hunter Lyross,TRUMP WİN EVERYTİME
15:20:21,Audrie ,My teacher told me to shut up
15:20:21,Big Ape 🦍,"Trump Trump Trump Trump  Trump Trump Trump Trump  Mega 24 allow me to say this once, You're fired Kamala !!!! Trump the New Elvis without a Guitar :guitar: America for the Americans "
15:20:21,K27331,free p diddy
15:20:21,Wilfredo Perez,Trump
15:20:21,Zainxxxyt,JESUS
15:20:21,Andre Thomas,Fraud attempts 
15:20:21,Snow leopard,:text-yellow-goal:Please vote HARRIS 2024:text-yellow-goal::card-red-penalty:trump is too old old old and has dementia:card-red-penalty:
15:20:21,Efs06,Trump
15:20:22,Quetzalli,KAMALA
15:20:22,GTE Pro,Vote Trump to save america 
15:20:22,JOHN SHIPP,Trump/Vance/RFK/Musk
15:20:22,The dude,Trump 2024 
15:20:22,FAFA :ISOKO,Rwanda for camalla
15:20:22,Merciix,KAMAKA
15:20:22,Aziza,TRUMP:check_mark_button:
15:20:22,Hi Hi,TRUMP
15:20:22,arch stanton,Jesus and trump
15:20:22,J S,:growing_heart: T R U M P :growing_heart: T R U M P
15:20:22,Par Cru2,"""Benign Injustice"" when you speak specifically on Women's Bodies or body parts... it is sexual discrimination! interfering with her rights and her body"
15:20:22,Jeremy Wang,Harris
15:20:23,SnekNOTSnake (Mr Sehat),TRUMP :red_square: MAGA :red_square: TRUMP :red_square: MAGA
15:20:23,Barış Mermer,trump ********
15:20:23,Morris Shelton,Vote TRUMP !!!!!!!!!!!!
15:20:23,Zainxxxyt,JESUS
15:20:23,Merciix,KAMAKA
15:20:23,senzentmoal,PROJRCT 3025
15:20:23,TryOnExperts,Trump
15:20:23,Cyber,KAMALA HARRIS FOR A FREE DEMOCRACY. KAMALA HARRIS FOR A GOOD ECONOMY. KAMALA HARRIS FOR BILLIONAIRES PAYING THEIR FAIR SHARE. KAMALA HARRIS FOR A FACISM FREE AMERICA. KAMALA HARRIS FOR THE FREE WORLD
15:20:23,Good ending🤤🤨,TRUMP ON TOP
15:20:24,Andrei Stabell,I no mind whomever shud win
15:20:24,Dillon Ginger,Trump
15:20:24,Saschapoggers,VOTE TRUMP
15:20:24,William Johnson,"VOTE ARE NEVER CHANGED AFTER SUBMITTED, EVEN IF IT WAS FRAUD"
15:20:24,Jesse boy ,trump
15:20:24,Merciix,KAMAKA
15:20:24,_cxpz,KAMALA
15:20:24,Jack Nickelson,Today is Liberation Day! Vote Trump!!
15:20:24,Bryce Brye,Kamala all the way
15:20:25,Rachel family ,Trump
15:20:25,CFBMotorsportProd,BAN ABORTION 
15:20:25,Ash Ray,TRUMP TRUMP TRUMP
15:20:25,Zainxxxyt,JESUS
15:20:25,HungerGamesFP,TRUMP
15:20:25,FLUXTASTIC,RAPGOD
15:20:25,Yourpal,trump again
15:20:26,carlife,trump trump
15:20:26,Dizzy Weezy,FIGHT! FIGHT! FIGHT!
15:20:26,Jeremy Wang,Harris 
15:20:26,Ash Ray,TRUMP TRUMP TRUMP....MAGA :red_circle: TOO BIG TO RIG. 
15:20:26,J S,:growing_heart: T R U M P :growing_heart: T R U M P
15:20:26,brunettedoll404,TRUMP <3
15:20:26,Beemovie Wasamistake,omgod
15:20:27,HELLYEAH Gaming,Diddy stuff is ment to Distract people what's really goin on Trump...
15:20:27,Book Archive,TRUMP GOD
15:20:27,Sabi2006,TRUMP
15:20:27,MoMo,MAGA
15:20:27,Merciix,KAMALA
15:20:27,Nee Tran,MAGA
15:20:27,Biro Otto,:red_square::red_square::red_square::red_square::red_square::red_square:Trump:red_square::red_square::red_square::red_square::red_square::red_square:
15:20:28,Quetzalli,KAMALA
15:20:28,Huddles,DIDDY 2024
