Date,Username,Comment
15:20:35,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:will win
15:20:38,James yung,rise fund
15:20:40,Lalo Caraveo,:jeans::running_shirt:TRUMP HEADED TO JAIL
15:20:43,CalebTheGamer,trump 2024
15:20:46,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:20:49,Julmanie Michel,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:20:52,Pradhan Ranagala AAL®️,even indians doesn't like kamala:face-blue-smiling:
15:21:15,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:21:19,Kishore R,who said
15:21:22,Maria Alecrim Xavier,Trump is america liberty **Kamala is Devil's smile**
15:21:25,NomyHbk 99,even Nepalese hate Kamala
15:21:50,Kishore R,:face_with_tears_of_joy: anyway she is going to win :rolling_on_the_floor_laughing:
15:21:53,CalebTheGamer,I can't believe Kamel the was in my state a couple days ago in Tampa Florida
15:21:56,Hir patel ,:heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
15:22:00,Hir patel ,:heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
15:22:03,Mr Wondering,People mentally ill to vote Harris 
15:22:24,Hir patel ,:heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit::heart_suit:
15:22:26,The A Team,it seems that women must not lay with men of they're care about abortion or what do you say?
15:22:27,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:22:29,夏华,trump
15:22:30,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:22:32,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:22:33,CalebTheGamer,Kamel toe
15:22:34,Maria Alecrim Xavier,go Trump america
15:22:36,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:22:37,Daebor Susngi,what indian time will the result br declared?
15:22:39,Harleygirl,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
15:22:40,Julmanie Michel,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:23:04,Rajathiran rajathiran,Trump
15:23:08,Mst Tisha Moni Moni,Trump will win
15:23:12,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:23:15,Mishon Manoj,who wants trump to win
15:23:19,CalebTheGamer,Trump 2024
15:23:43,Kishore R,kamala :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:23:46,MYSTIfYIN ,blue devils is what you is
15:23:49,Roman Reznikov,Trump will win.
15:23:52,Jordan Woodhouse,Trump letsssss gooooo!!!!!!
15:23:55,CalebTheGamer,:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
15:24:18,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:24:21,MYSTIfYIN ,RED SEA LIKE JESUS
15:24:23,Kishore R,:red_heart::clown_face:
15:24:26,Julmanie Michel,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:24:28,Kishore R,:blue_heart::blue_heart::hundred_points:
15:24:31,ZofoA Stanley,Trump 2024
15:24:34,Kishore R,:blue_heart::hundred_points:
15:24:36,Dan Tilders,Australia votes TRUMP 
15:24:58,CalebTheGamer,Trump 2024
15:25:00,Frazer's Cultural Intoxication,VIMMING IN THE VITE HOUSE
15:25:02,James yung,us kenya  we support kamala
15:25:05,Kishore R,:blue_heart::hundred_points:
15:25:07,MYSTIfYIN ,DOWN WITH SINISTER LIBERALS
15:25:09,Jason Grey,kamala
15:25:11,Ganesh G,Donald Trump 100% win
15:25:13,Dan Tilders,:face_with_tears_of_joy::face_with_tears_of_joy:
15:25:15,Jordan Woodhouse,lol
15:25:37,Kishore R,:blue_heart::hundred_points:
15:25:39,Priyanka Sharma,Trump Trump Trump
15:25:42,Hillary Maina,promote peace in your borders then help us build and foster peace world wind . Americans means well for the world.
15:25:44,CalebTheGamer,trump 2024
15:25:46,CalebTheGamer,Trump
15:25:48,Priyanka Sharma,vote for blue :blue_circle:
15:25:51,MYSTIfYIN ,DELUSIONAL DEMS
15:25:53,Kishore R,:blue_heart::hundred_points:
15:26:19,CalebTheGamer,People who are saying they are tied it's all lies wake up already
15:26:24,protoVAX,Trump 
15:26:48,James yung,kamala winning is 56% trump 44%
15:26:51,Kishore R,:blue_heart::hundred_points:
15:26:55,MYSTIfYIN ,no she's not
15:26:58,CalebTheGamer,Trumps got my state
15:27:02,MYSTIfYIN ,fake news fake polls
15:27:25,Kishore R,kamala win :hundred_points:
15:27:28,Mindex man,Trump
15:27:32,Julmanie Michel,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:
15:27:35,Kishore R,:blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points::hundred_points:
15:27:38,MYSTIfYIN ,Democrats are like KC and BRADY
15:27:41,sherif Sarofim,Trump the 47 President :star_of_david::latin_cross::folded_hands:
15:28:04,CalebTheGamer,Maga 2024
15:28:07,MYSTIfYIN ,CHEAT STEAL KILl IS THERE MOTIVES
15:28:10,Kishore R,julmanie
15:28:14,Ivan Jaramillo,Kamala for a stable country!!
15:28:17,Vishnu Pradeep,:thumbs_up:Modi /Trump/Putin:thumbs_up:
15:28:40,DONZKIE VLOG28,trump no world war 3 i love trump :red_heart: no war
15:28:42,Cat's Club Cafe,Harris use teleprompter and feels fake when talks
15:28:45,Sto Domingo,i vote for Harris
15:28:48,buratsa de ahit,congrats trump our new president
15:28:51,CalebTheGamer,Kamel toe will make our country worse not stable
15:28:54,antonio,"I have been in the United States for 25 years and have never voted, but this time my family, relatives and friends all registered as voters and all voted for Trump. Hope we can save America."
15:29:19,Kishore R,julmanie
15:29:24,James yung,:smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts::smiling_face_with_hearts:
15:29:54,Vishnu Pradeep,:thumbs_up:Modi /Trump/Putin:thumbs_up:
15:30:04,A 83,only way Kamala wins is if she cheats and is places just like Biden was! :hundred_points::hundred_points:
15:30:29,Rashid Islam,trump
15:30:34,chalz namz,ประยุท
15:30:38,Soledad,"F WOKE, DEI, PINK HAIR, NOSE RING WEARING LEFTIES. WE NEED STRENGTH RUNNING THIS COUNTRY NOT PUSSIES. TRUMP 2024"
15:30:43,Kishore R,kamala :blue_heart:
15:31:04,Vishnu Pradeep,:thumbs_up:Modi /Trump/Putin:thumbs_up:
15:31:06,Kishore R,oh yae
15:31:07,buratsa de ahit,kamala win a brand new toilet
15:31:08,kuya Usa Vlog,TRUMP THE BEST PRESIDENT
